代號,名稱,營收成長率,淨利成長率,營運現金流量成長率,負債比率,固定資產,資產報酬率,股東權益報酬率,資產周轉率,應收帳款周轉率,本益比,每股營收比
2427,三商電腦,18.62,50.93,102.74,45.5,390.15,1.57,2.37,0.72,3.97,23.93,2.64
2453,凌群,0.43,1.61,-162.36,46.46,328.08,2.05,3.59,1.19,3.24,17.64,1.4
2468,華經,-3.3,-20.49,-62.87,23.11,469.04,3.15,4.08,0.93,3.13,19.07,2.24
2471,資通,12.42,123.3,2.96,34.23,11508.82,7.51,11.58,0.61,4.09,14.09,4.61
2480,敦陽科 ,-12.88,11.75,0.21,41.36,742.11,6.77,10.86,0.95,2.86,12.66,3.4
3029,零壹,10.17,22.58,-63.84,40.51,665.13,6.93,11.46,1.74,3.77,11.46,1.46
3130,一零四,8.1,20.84,-23.52,31.84,717.91,15.35,23.9,0.62,35.73,18.25,13.5
4994,傳奇,-23.96,-465.67,-334.14,15.92,4134.94,-5.53,-6.62,0.39,9.32,300,25.76
5203,訊連 ,-5.22,-45.48,1948.38,25.63,904.01,5.18,6.94,0.32,15.48,20.18,15.61
6112,聚碩,6.72,6.13,-192.24,61.9,568.88,5.17,12.51,1.78,6.37,11.62,1.16
6183,關貿,-4.43,11.62,13.23,22.19,319.41,7.83,10.19,0.47,4.54,18.25,13.39
6214,精誠,-6.03,96.41,7.8,33.14,634.89,5.89,8.41,0.86,4.7,13.57,3.39